Κωδικός_Φορέα,Ονομασία_Φορέα,Κωδικός_Υπηρεσίας,Ονομασία_Υπηρεσίας,Κωδικός_Δαπάνης,Ονομασία_Δαπάνης,2025
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9901100,Περιφερειακές Διευθύνσεις Πρωτοβάθμιας και Δευτεροβάθμιας Εκπαίδευσης Νοτίου Αιγαίου,21,Παροχές σε εργαζομένους,10000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9901100,Περιφερειακές Διευθύνσεις Πρωτοβάθμιας και Δευτεροβάθμιας Εκπαίδευσης Νοτίου Αιγαίου,23,Μεταβιβάσεις,5000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9901100,Περιφερειακές Διευθύνσεις Πρωτοβάθμιας και Δευτεροβάθμιας Εκπαίδευσης Νοτίου Αιγαίου,24,Αγορές αγαθών και υπηρεσιών,287000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9901100,Περιφερειακές Διευθύνσεις Πρωτοβάθμιας και Δευτεροβάθμιας Εκπαίδευσης Νοτίου Αιγαίου,31,Πάγια περιουσιακά στοιχεία,51000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9901200,Περιφερειακές Διευθύνσεις Πρωτοβάθμιας και Δευτεροβάθμιας Εκπαίδευσης Πελοποννήσου,21,Παροχές σε εργαζομένους,9000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9901200,Περιφερειακές Διευθύνσεις Πρωτοβάθμιας και Δευτεροβάθμιας Εκπαίδευσης Πελοποννήσου,24,Αγορές αγαθών και υπηρεσιών,104000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9901200,Περιφερειακές Διευθύνσεις Πρωτοβάθμιας και Δευτεροβάθμιας Εκπαίδευσης Πελοποννήσου,31,Πάγια περιουσιακά στοιχεία,31000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9901300,Περιφερειακές Διευθύνσεις Πρωτοβάθμιας και Δευτεροβάθμιας Εκπαίδευσης Στερεάς Ελλάδας,21,Παροχές σε εργαζομένους,13000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9901300,Περιφερειακές Διευθύνσεις Πρωτοβάθμιας και Δευτεροβάθμιας Εκπαίδευσης Στερεάς Ελλάδας,23,Μεταβιβάσεις,5000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9901300,Περιφερειακές Διευθύνσεις Πρωτοβάθμιας και Δευτεροβάθμιας Εκπαίδευσης Στερεάς Ελλάδας,24,Αγορές αγαθών και υπηρεσιών,120000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9901300,Περιφερειακές Διευθύνσεις Πρωτοβάθμιας και Δευτεροβάθμιας Εκπαίδευσης Στερεάς Ελλάδας,31,Πάγια περιουσιακά στοιχεία,12000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910100,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Αιτωλοακαρνανίας,21,Παροχές σε εργαζομένους,121500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910100,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Αιτωλοακαρνανίας,23,Μεταβιβάσεις,16000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910100,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Αιτωλοακαρνανίας,24,Αγορές αγαθών και υπηρεσιών,16500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910200,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Αργολίδας,21,Παροχές σε εργαζομένους,27000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910200,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Αργολίδας,23,Μεταβιβάσεις,11000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910200,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Αργολίδας,24,Αγορές αγαθών και υπηρεσιών,6000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910300,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Αρκαδίας,21,Παροχές σε εργαζομένους,28500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910300,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Αρκαδίας,23,Μεταβιβάσεις,6500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910300,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Αρκαδίας,24,Αγορές αγαθών και υπηρεσιών,10000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910400,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Άρτας,21,Παροχές σε εργαζομένους,54000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910400,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Άρτας,23,Μεταβιβάσεις,5000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910400,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Άρτας,24,Αγορές αγαθών και υπηρεσιών,12000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910500,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης Νομαρχίας Αθηνών,21,Παροχές σε εργαζομένους,61500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910500,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης Νομαρχίας Αθηνών,23,Μεταβιβάσεις,53000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910500,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης Νομαρχίας Αθηνών,24,Αγορές αγαθών και υπηρεσιών,2000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910600,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης Νομαρχίας Πειραιά,21,Παροχές σε εργαζομένους,71000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910600,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης Νομαρχίας Πειραιά,23,Μεταβιβάσεις,30500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910600,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης Νομαρχίας Πειραιά,24,Αγορές αγαθών και υπηρεσιών,13500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910700,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης Νομαρχίας Ανατολικής Αττικής,21,Παροχές σε εργαζομένους,32500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910700,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης Νομαρχίας Ανατολικής Αττικής,23,Μεταβιβάσεις,44000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910700,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης Νομαρχίας Ανατολικής Αττικής,24,Αγορές αγαθών και υπηρεσιών,8000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910800,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης Νομαρχίας Δυτικής Αττικής,21,Παροχές σε εργαζομένους,14000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910800,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης Νομαρχίας Δυτικής Αττικής,23,Μεταβιβάσεις,14000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910800,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης Νομαρχίας Δυτικής Αττικής,24,Αγορές αγαθών και υπηρεσιών,6000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910900,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Αχαΐας,21,Παροχές σε εργαζομένους,81000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910900,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Αχαΐας,23,Μεταβιβάσεις,18000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9910900,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Αχαΐας,24,Αγορές αγαθών και υπηρεσιών,11000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911000,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Βοιωτίας,21,Παροχές σε εργαζομένους,36000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911000,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Βοιωτίας,23,Μεταβιβάσεις,7500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911000,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Βοιωτίας,24,Αγορές αγαθών και υπηρεσιών,9500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911100,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Γρεβενών,21,Παροχές σε εργαζομένους,9500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911100,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Γρεβενών,23,Μεταβιβάσεις,3500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911100,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Γρεβενών,24,Αγορές αγαθών και υπηρεσιών,4500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911200,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Δράμας,21,Παροχές σε εργαζομένους,9000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911200,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Δράμας,23,Μεταβιβάσεις,9000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911200,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Δράμας,24,Αγορές αγαθών και υπηρεσιών,9000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911300,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Δωδεκανήσου,21,Παροχές σε εργαζομένους,26500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911300,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Δωδεκανήσου,23,Μεταβιβάσεις,12000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911300,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Δωδεκανήσου,24,Αγορές αγαθών και υπηρεσιών,10500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911400,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Έβρου,21,Παροχές σε εργαζομένους,60000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911400,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Έβρου,23,Μεταβιβάσεις,7500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911400,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Έβρου,24,Αγορές αγαθών και υπηρεσιών,12500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911500,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ευβοίας,21,Παροχές σε εργαζομένους,119000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911500,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ευβοίας,23,Μεταβιβάσεις,12000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911500,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ευβοίας,24,Αγορές αγαθών και υπηρεσιών,13000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911600,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ευρυτανίας,21,Παροχές σε εργαζομένους,29000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911600,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ευρυτανίας,23,Μεταβιβάσεις,2500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911600,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ευρυτανίας,24,Αγορές αγαθών και υπηρεσιών,3000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911700,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ζακύνθου,21,Παροχές σε εργαζομένους,13000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911700,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ζακύνθου,23,Μεταβιβάσεις,2000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911700,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ζακύνθου,24,Αγορές αγαθών και υπηρεσιών,8000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911800,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ηλείας,21,Παροχές σε εργαζομένους,112500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911800,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ηλείας,23,Μεταβιβάσεις,13000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911800,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ηλείας,24,Αγορές αγαθών και υπηρεσιών,14500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911900,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ημαθίας,21,Παροχές σε εργαζομένους,10000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911900,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ημαθίας,23,Μεταβιβάσεις,10000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9911900,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ημαθίας,24,Αγορές αγαθών και υπηρεσιών,11000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9912000,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ηρακλείου,21,Παροχές σε εργαζομένους,159500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9912000,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ηρακλείου,23,Μεταβιβάσεις,21000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9912000,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ηρακλείου,24,Αγορές αγαθών και υπηρεσιών,14000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9912100,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Θεσπρωτίας,21,Παροχές σε εργαζομένους,7000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9912100,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Θεσπρωτίας,23,Μεταβιβάσεις,5500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9912100,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Θεσπρωτίας,24,Αγορές αγαθών και υπηρεσιών,9000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9912200,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Θεσσαλονίκης,21,Παροχές σε εργαζομένους,68500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9912200,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Θεσσαλονίκης,23,Μεταβιβάσεις,67000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9912200,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Θεσσαλονίκης,24,Αγορές αγαθών και υπηρεσιών,22500
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ",1020-206-9912300,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης στον νομό Ιωαννίνων,21,Παροχές σε εργαζομένους,57000
